name,state,city,monthlyIncome,internetUsed,dataPackExpense,foodFuelExpensePercent,hasLoan,familyMembers,childrenCount,childrenStatus,cookingTogether,lpgRefillFrequency,earningMembers,dependentMembers,jobType,emergencyFundSource,facedEmergency,assets,hasLand,ownsVehicle,incomeCycle,savings,awareOfGovtScheme,pastLoanDefault,lpgPreference,lpgChallenges,cylinderPreference,score,risk_category
Person_8882,Gujarat,Junagadh,12655,yes,128,26-50%,no,3,2,not study,no,1-2 months,1,2,unemployed,money-lender,no,tv,no,no,monthly,3488,no,no,LPG,cost,14.2kg,723.0769230769231,Low Risk
Person_9549,Rajasthan,Bikaner,11331,yes,125,26-50%,yes,6,5,study,yes,<1 month,1,5,migrant-labour,savings,no,tv,yes,yes,weekly,3868,yes,no,LPG,cost,14.2kg,723.0769230769231,Low Risk
Person_6517,Bihar,Purnia,5423,no,9,0-25%,yes,7,4,study,yes,<1 month,3,4,farmer,family,no,"mobile,fan",yes,no,weekly,498,yes,no,LPG,cost,14.2kg,446.1538461538462,Medium Risk
Person_1301,Gujarat,Jamnagar,14871,no,200,76-100%,no,7,6,study,yes,1-2 months,6,1,self-employed,money-lender,yes,tv,no,yes,weekly,3811,yes,no,LPG,distance,14.2kg,792.3076923076924,Low Risk
Person_9188,Gujarat,Ahmedabad,11427,yes,17,76-100%,yes,5,4,study,yes,>2 months,2,3,daily-wager,savings,yes,"mobile,tv",no,yes,daily,2090,yes,yes,LPG,distance,14.2kg,376.92307692307696,High Risk
Person_9909,Bihar,Darbhanga,5823,yes,127,26-50%,no,5,4,not study,no,<1 month,1,4,migrant-labour,family,no,none,no,no,weekly,1652,no,no,LPG,none,5kg,584.6153846153845,Medium Risk
Person_1061,Jharkhand,Ranchi,9440,no,88,26-50%,yes,7,6,study,yes,1-2 months,4,3,migrant-labour,family,yes,"mobile,fan",yes,yes,monthly,1692,yes,no,LPG,availability,14.2kg,584.6153846153845,Medium Risk
Person_4124,Rajasthan,Ajmer,5621,yes,155,51-75%,no,8,6,not study,yes,<1 month,2,6,self-employed,money-lender,yes,"mobile,fan",no,yes,weekly,3731,yes,no,LPG,availability,5kg,653.8461538461539,Medium Risk
Person 38,Maharashtra,Nashik,9986,no,100,25-50%,yes,5,1,study,yes,3-4 months,1,4,driver,savings,no,mobile,no,yes,monthly,0,yes,no,LPG,cost,14kg,584.6153846153845,Medium Risk
Person_8643,Jharkhand,Deoghar,12978,no,92,26-50%,yes,5,4,not study,no,1-2 months,1,4,migrant-labour,family,yes,fan,yes,no,daily,1353,yes,yes,LPG,availability,14.2kg,169.23076923076923,High Risk
Person_7742,Bihar,Arrah,5045,no,28,0-25%,yes,2,0,not study,yes,>2 months,1,1,farmer,family,no,"mobile,tv",yes,no,monthly,399,no,no,LPG,none,5kg,376.92307692307696,High Risk
Person 76,Uttar Pradesh,Gorakhpur,4527,yes,100,51-75%,yes,5,1,study,yes,5-6 months,2,3,security-guard,savings,no,none,no,yes,monthly,1000,no,no,LPG,availability,14kg,515.3846153846155,Medium Risk
Person_9469,Jharkhand,Deoghar,9530,no,1,0-25%,yes,5,4,study,no,<1 month,2,3,part-time,savings,no,"mobile,tv",yes,yes,daily,2891,no,no,LPG,none,14.2kg,584.6153846153845,Medium Risk
Person_9809,Gujarat,Gandhinagar,7704,yes,131,51-75%,yes,7,6,not study,yes,1-2 months,4,3,self-employed,savings,yes,fan,no,no,weekly,2742,yes,no,LPG,availability,5kg,584.6153846153845,Medium Risk
Person_2174,Jharkhand,Giridih,9089,yes,10,51-75%,yes,6,3,study,yes,>2 months,5,1,self-employed,family,yes,tv,no,no,weekly,926,no,yes,LPG,cost,14.2kg,307.69230769230774,High Risk
Person_1530,Gujarat,Ahmedabad,7209,no,41,51-75%,yes,4,2,study,yes,<1 month,2,2,daily-wager,family,no,fan,yes,yes,weekly,4388,no,yes,LPG,none,5kg,307.69230769230774,High Risk
Person 95,Uttar Pradesh,Agra,7280,yes,0,51-75%,no,7,2,working,yes,1-2 months,2,4,domestic-worker,none,yes,mobile,no,yes,monthly,0,no,no,LPG,none,5kg,515.3846153846155,Medium Risk
Person 29,Uttar Pradesh,Bareilly,17060,yes,50,51-75%,yes,3,0,working,no,5-6 months,2,1,labourer,none,yes,mobile,no,no,weekly,500,yes,no,LPG,availability,14kg,653.8461538461539,Medium Risk
Person_6339,Gujarat,Rajkot,4816,yes,61,51-75%,yes,8,4,study,no,1-2 months,5,3,farmer,savings,yes,tv,no,yes,weekly,1597,yes,no,LPG,none,14.2kg,584.6153846153845,Medium Risk
Person_5220,Gujarat,Junagadh,9198,yes,171,76-100%,yes,7,1,study,no,1-2 months,5,2,migrant-labour,savings,no,none,no,yes,monthly,223,yes,yes,LPG,none,5kg,584.6153846153845,Medium Risk
Person_9388,Bihar,Gaya,3525,no,147,0-25%,yes,5,2,study,no,1-2 months,1,4,unemployed,money-lender,no,tv,yes,yes,monthly,353,no,no,LPG,none,5kg,446.1538461538462,Medium Risk
Person 58,Uttar Pradesh,Jhansi,17423,no,200,25-50%,yes,7,3,study,no,5-6 months,1,6,domestic-worker,savings,no,vehicle,no,yes,weekly,0,yes,no,LPG,none,14kg,653.8461538461539,Medium Risk
Person_4401,Jharkhand,Dhanbad,9671,no,75,0-25%,no,5,4,not study,no,1-2 months,2,3,farmer,friends,yes,mobile,no,yes,monthly,1951,no,no,LPG,distance,5kg,515.3846153846155,Medium Risk
Person_9878,Bihar,Patna,11522,yes,142,76-100%,yes,4,2,not study,no,1-2 months,3,1,self-employed,money-lender,yes,mobile,yes,yes,daily,3727,yes,yes,LPG,none,5kg,515.3846153846155,Medium Risk
Person_8148,Bihar,Begusarai,8347,no,21,26-50%,no,4,3,not study,no,>2 months,1,3,unemployed,money-lender,no,"mobile,fan",no,no,daily,186,no,yes,LPG,cost,5kg,376.92307692307696,High Risk
Person_7717,Rajasthan,Ajmer,13329,yes,179,26-50%,no,2,0,study,yes,1-2 months,1,1,daily-wager,money-lender,no,"mobile,tv",no,yes,monthly,4153,no,no,LPG,none,14.2kg,792.3076923076924,Low Risk
Person_6517,Bihar,Purnia,5423,no,9,0-25%,yes,7,4,study,yes,<1 month,3,4,farmer,family,no,"mobile,fan",yes,no,weekly,498,yes,no,LPG,cost,14.2kg,446.1538461538462,Medium Risk
Person_3738,Bihar,Muzaffarpur,9594,no,113,0-25%,yes,3,1,not study,no,>2 months,2,1,part-time,friends,no,none,yes,no,daily,3745,yes,yes,LPG,distance,14.2kg,515.3846153846155,Medium Risk
Person_3800,Rajasthan,Alwar,11145,yes,7,76-100%,no,8,6,not study,yes,1-2 months,7,1,self-employed,friends,yes,"mobile,tv",yes,yes,daily,2145,no,no,LPG,availability,5kg,792.3076923076924,Low Risk
Person_2036,Bihar,Gaya,5157,yes,69,26-50%,no,5,3,study,no,1-2 months,3,2,migrant-labour,friends,yes,"mobile,tv",yes,yes,weekly,857,yes,no,LPG,availability,5kg,723.0769230769231,Low Risk
Person_5442,Gujarat,Junagadh,13679,yes,39,26-50%,no,7,4,not study,yes,1-2 months,2,5,farmer,savings,yes,mobile,yes,no,daily,4227,yes,yes,LPG,availability,5kg,446.1538461538462,Medium Risk
Person 37,Uttar Pradesh,Lucknow,19847,no,50,<25%,no,3,0,study,no,1-2 months,2,0,cleaner,family,yes,vehicle,yes,yes,daily,1000,no,yes,LPG,cost,14kg,515.3846153846155,Medium Risk
Person 81,Uttar Pradesh,Lucknow,16945,yes,100,>75%,yes,6,0,study,yes,1-2 months,3,4,security-guard,none,no,mobile,yes,no,weekly,500,no,yes,LPG,cost,5kg,376.92307692307696,High Risk
Person_3558,Gujarat,Ahmedabad,6624,yes,86,51-75%,yes,5,1,not study,yes,>2 months,1,4,part-time,family,yes,"mobile,tv",no,yes,daily,2372,no,no,LPG,availability,14.2kg,446.1538461538462,Medium Risk
Person_7664,Jharkhand,Jamshedpur,9795,yes,123,26-50%,yes,8,3,study,no,1-2 months,3,5,farmer,friends,yes,fan,no,no,weekly,1964,yes,no,LPG,none,5kg,446.1538461538462,Medium Risk
Person_9479,Bihar,Patna,11565,no,2,51-75%,no,8,1,study,yes,1-2 months,3,5,unemployed,friends,no,mobile,no,yes,monthly,306,no,no,LPG,distance,5kg,653.8461538461539,Medium Risk
Person 93,Maharashtra,Pune,7117,yes,200,>75%,yes,5,3,study,yes,3-4 months,3,3,labourer,none,no,land,yes,no,daily,0,yes,no,LPG,cost,5kg,515.3846153846155,Medium Risk
Person 35,Uttar Pradesh,Kanpur,19932,yes,200,25-50%,no,7,0,study,no,5-6 months,1,4,cleaner,family,no,none,no,no,weekly,200,no,no,LPG,cost,5kg,723.0769230769231,Low Risk
Person_3392,Bihar,Darbhanga,4403,yes,128,76-100%,no,8,3,not study,yes,<1 month,3,5,migrant-labour,friends,yes,"mobile,fan",yes,no,monthly,2765,yes,yes,LPG,cost,5kg,376.92307692307696,High Risk
Person 82,Uttar Pradesh,Kanpur,8364,no,100,25-50%,yes,6,0,study,yes,5-6 months,3,3,cleaner,none,no,mobile,yes,yes,weekly,200,yes,yes,LPG,availability,5kg,376.92307692307696,High Risk
Person_3791,Jharkhand,Ramgarh,7753,no,23,26-50%,no,4,1,not study,yes,>2 months,2,2,self-employed,friends,yes,none,no,yes,daily,2303,yes,no,LPG,availability,14.2kg,584.6153846153845,Medium Risk
Person_3473,Jharkhand,Deoghar,13332,yes,57,76-100%,yes,8,2,not study,no,<1 month,6,2,farmer,friends,no,tv,yes,yes,monthly,2874,yes,no,LPG,cost,14.2kg,861.5384615384615,Low Risk
Person 45,Uttar Pradesh,Allahabad,6386,yes,0,25-50%,yes,8,0,working,yes,5-6 months,3,5,labourer,savings,no,mobile,no,no,daily,500,yes,yes,LPG,none,14kg,307.69230769230774,High Risk
Person_6387,Jharkhand,Jamshedpur,4297,yes,65,0-25%,no,3,0,study,yes,>2 months,1,2,daily-wager,savings,yes,tv,yes,no,daily,1428,no,yes,LPG,distance,14.2kg,238.46153846153848,High Risk
Person_5231,Rajasthan,Bikaner,6013,yes,80,0-25%,yes,6,2,study,yes,1-2 months,5,1,migrant-labour,family,no,tv,no,yes,weekly,4576,no,yes,LPG,distance,5kg,515.3846153846155,Medium Risk
Person 11,Uttar Pradesh,Lucknow,10205,yes,50,>75%,yes,4,1,study,no,3-4 months,1,1,labourer,none,no,vehicle,no,no,weekly,500,yes,no,LPG,none,14kg,584.6153846153845,Medium Risk
Person 68,Uttar Pradesh,Kanpur,9685,yes,50,>75%,no,6,3,study,yes,1-2 months,3,4,driver,family,yes,mobile,yes,yes,weekly,1000,no,no,LPG,availability,14kg,584.6153846153845,Medium Risk
Person_9388,Bihar,Gaya,3525,no,147,0-25%,yes,5,2,study,no,1-2 months,1,4,unemployed,money-lender,no,tv,yes,yes,monthly,353,no,no,LPG,none,5kg,446.1538461538462,Medium Risk
Person_6872,Rajasthan,Bhilwara,5244,yes,100,0-25%,no,7,1,not study,yes,1-2 months,1,6,part-time,family,yes,"mobile,tv",yes,no,weekly,845,yes,yes,LPG,cost,14.2kg,307.69230769230774,High Risk
Person_7487,Jharkhand,Deoghar,13088,no,106,26-50%,no,3,0,not study,yes,<1 month,1,2,part-time,savings,yes,"mobile,tv",yes,yes,weekly,1923,yes,no,LPG,distance,5kg,584.6153846153845,Medium Risk
Person_7999,Rajasthan,Ajmer,7591,no,38,51-75%,yes,6,1,not study,no,<1 month,5,1,part-time,money-lender,yes,tv,yes,no,monthly,3045,no,no,LPG,availability,14.2kg,446.1538461538462,Medium Risk
Person_4569,Gujarat,Vadodara,9364,no,60,51-75%,no,3,2,study,yes,>2 months,2,1,part-time,friends,no,"mobile,tv",no,yes,monthly,3400,no,no,LPG,none,5kg,861.5384615384615,Low Risk
Person_4511,Rajasthan,Ajmer,14539,yes,155,76-100%,yes,4,3,not study,yes,>2 months,1,3,part-time,family,no,tv,yes,no,weekly,4732,no,yes,LPG,none,5kg,376.92307692307696,High Risk
Person 26,Maharashtra,Nashik,8364,yes,50,<25%,no,4,0,study,no,1-2 months,2,2,domestic-worker,family,yes,land,yes,no,daily,1000,yes,yes,LPG,none,14kg,376.92307692307696,High Risk
Person_7288,Jharkhand,Ranchi,5536,yes,3,26-50%,no,8,3,study,yes,<1 month,5,3,part-time,savings,yes,fan,no,yes,monthly,3232,no,yes,LPG,distance,5kg,515.3846153846155,Medium Risk
Person 81,Maharashtra,Nagpur,8365,no,0,25-50%,yes,5,0,study,no,5-6 months,2,2,security-guard,family,no,land,yes,yes,daily,200,no,no,LPG,cost,5kg,515.3846153846155,Medium Risk
Person 25,Karnataka,Belgaum,16313,no,100,<25%,no,3,1,study,no,1-2 months,2,2,domestic-worker,family,yes,none,no,no,monthly,200,no,no,LPG,cost,5kg,515.3846153846155,Medium Risk
Person_1484,Rajasthan,Bikaner,3463,yes,146,51-75%,no,6,1,not study,no,<1 month,2,4,unemployed,money-lender,no,tv,yes,yes,daily,4511,yes,no,LPG,cost,5kg,792.3076923076924,Low Risk
Person 88,Uttar Pradesh,Kanpur,10407,no,0,<25%,no,6,3,study,yes,5-6 months,1,3,vendor,savings,no,none,no,no,monthly,0,no,yes,LPG,cost,14kg,376.92307692307696,High Risk
Person 2,Uttar Pradesh,Agra,14335,yes,200,<25%,yes,5,2,study,yes,5-6 months,1,2,vendor,savings,no,land,yes,yes,weekly,1000,yes,no,LPG,none,5kg,653.8461538461539,Medium Risk
Person_5442,Gujarat,Junagadh,13679,yes,39,26-50%,no,7,4,not study,yes,1-2 months,2,5,farmer,savings,yes,mobile,yes,no,daily,4227,yes,yes,LPG,availability,5kg,446.1538461538462,Medium Risk
Person_1133,Jharkhand,Ranchi,6514,yes,167,26-50%,no,4,0,study,yes,1-2 months,3,1,self-employed,friends,yes,fan,yes,no,daily,164,yes,yes,LPG,distance,5kg,446.1538461538462,Medium Risk
Person_9631,Gujarat,Ahmedabad,8575,no,196,26-50%,yes,4,0,study,yes,<1 month,2,2,part-time,savings,no,mobile,no,no,daily,4180,yes,yes,LPG,distance,5kg,376.92307692307696,High Risk
Person_5231,Rajasthan,Bikaner,6013,yes,80,0-25%,yes,6,2,study,yes,1-2 months,5,1,migrant-labour,family,no,tv,no,yes,weekly,4576,no,yes,LPG,distance,5kg,515.3846153846155,Medium Risk
Person_2513,Gujarat,Jamnagar,7628,yes,56,0-25%,no,5,2,study,yes,<1 month,2,3,self-employed,friends,no,"mobile,fan",no,no,daily,240,no,yes,LPG,cost,5kg,376.92307692307696,High Risk
Person_4569,Gujarat,Vadodara,9364,no,60,51-75%,no,3,2,study,yes,>2 months,2,1,part-time,friends,no,"mobile,tv",no,yes,monthly,3400,no,no,LPG,none,5kg,861.5384615384615,Low Risk
Person_3616,Jharkhand,Deoghar,14447,yes,82,51-75%,no,7,3,study,no,<1 month,6,1,farmer,money-lender,yes,fan,yes,no,daily,890,yes,no,LPG,cost,5kg,723.0769230769231,Low Risk
Person 70,Maharashtra,Nagpur,6672,no,0,51-75%,no,3,0,working,yes,5-6 months,3,1,daily-wager,none,yes,vehicle,no,no,monthly,0,no,no,LPG,cost,5kg,515.3846153846155,Medium Risk
Person_9388,Bihar,Gaya,3525,no,147,0-25%,yes,5,2,study,no,1-2 months,1,4,unemployed,money-lender,no,tv,yes,yes,monthly,353,no,no,LPG,none,5kg,446.1538461538462,Medium Risk
Person 99,Karnataka,Hubli,12265,no,100,25-50%,no,5,3,study,yes,5-6 months,3,3,driver,savings,no,none,no,yes,weekly,1000,yes,no,LPG,none,5kg,723.0769230769231,Low Risk
Person 97,Karnataka,Mysuru,19948,no,100,51-75%,yes,6,0,study,yes,3-4 months,1,5,security-guard,none,yes,vehicle,no,yes,monthly,0,yes,yes,LPG,cost,14kg,307.69230769230774,High Risk
Person 90,Uttar Pradesh,Agra,6168,yes,0,>75%,no,3,0,working,yes,3-4 months,1,0,cleaner,savings,no,land,yes,yes,weekly,500,no,yes,LPG,cost,5kg,584.6153846153845,Medium Risk
Person_6074,Jharkhand,Jamshedpur,11338,no,154,26-50%,yes,4,3,study,yes,1-2 months,2,2,unemployed,family,yes,none,yes,no,weekly,1367,yes,no,LPG,distance,5kg,376.92307692307696,High Risk
Person_7902,Rajasthan,Jodhpur,12654,yes,163,51-75%,no,5,4,study,no,>2 months,4,1,part-time,savings,yes,fan,no,yes,weekly,3746,no,yes,LPG,availability,14.2kg,584.6153846153845,Medium Risk
Person_1561,Rajasthan,Kota,11811,no,36,26-50%,no,7,5,not study,no,>2 months,6,1,unemployed,family,no,none,yes,yes,daily,4394,yes,yes,LPG,none,5kg,723.0769230769231,Low Risk
Person_6587,Jharkhand,Ramgarh,13320,no,51,0-25%,no,8,2,not study,no,1-2 months,6,2,migrant-labour,savings,no,fan,yes,yes,weekly,3871,no,yes,LPG,distance,5kg,653.8461538461539,Medium Risk
Person_7357,Rajasthan,Pali,8213,yes,77,26-50%,no,7,3,not study,no,1-2 months,1,6,daily-wager,family,no,fan,no,no,weekly,4125,yes,no,LPG,cost,14.2kg,792.3076923076924,Low Risk
Person_1673,Bihar,Bhagalpur,7334,yes,117,51-75%,no,5,0,not study,yes,>2 months,4,1,migrant-labour,family,no,"mobile,fan",no,no,daily,4070,no,no,LPG,availability,14.2kg,792.3076923076924,Low Risk
Person 17,Karnataka,Bengaluru,8508,no,50,>75%,yes,5,3,working,yes,3-4 months,3,3,driver,none,yes,vehicle,no,no,daily,500,no,yes,LPG,none,5kg,100.0,High Risk
Person 80,Uttar Pradesh,Bareilly,7026,yes,100,>75%,yes,4,0,study,yes,5-6 months,2,3,vendor,none,no,land,yes,yes,daily,1000,no,yes,LPG,none,5kg,307.69230769230774,High Risk
Person_7002,Rajasthan,Alwar,3465,no,50,26-50%,no,2,0,not study,yes,1-2 months,1,1,farmer,family,no,"mobile,fan",yes,no,weekly,2195,yes,yes,LPG,cost,14.2kg,446.1538461538462,Medium Risk
Person_6611,Rajasthan,Bhilwara,5769,no,166,0-25%,no,3,0,not study,yes,<1 month,2,1,part-time,family,no,"mobile,fan",no,no,daily,3506,yes,no,LPG,none,14.2kg,792.3076923076924,Low Risk
Person_9152,Gujarat,Junagadh,5480,yes,128,0-25%,no,8,6,study,yes,>2 months,4,4,self-employed,savings,yes,mobile,no,no,weekly,4771,no,no,LPG,distance,14.2kg,515.3846153846155,Medium Risk
Person_9509,Bihar,Arrah,14130,yes,125,0-25%,yes,5,1,not study,no,<1 month,3,2,part-time,savings,yes,"mobile,fan",yes,yes,weekly,3917,yes,no,LPG,none,14.2kg,723.0769230769231,Low Risk
Person_9543,Gujarat,Jamnagar,3354,no,50,26-50%,yes,2,0,not study,no,<1 month,1,1,unemployed,money-lender,yes,none,yes,yes,daily,2752,no,no,LPG,availability,14.2kg,376.92307692307696,High Risk
Person_2513,Gujarat,Jamnagar,7628,yes,56,0-25%,no,5,2,study,yes,<1 month,2,3,self-employed,friends,no,"mobile,fan",no,no,daily,240,no,yes,LPG,cost,5kg,376.92307692307696,High Risk
Person_9994,Bihar,Darbhanga,5262,yes,25,26-50%,no,3,1,not study,yes,>2 months,1,2,unemployed,friends,no,"mobile,tv",yes,no,weekly,991,yes,yes,LPG,distance,14.2kg,446.1538461538462,Medium Risk
Person_6404,Rajasthan,Alwar,9539,yes,24,0-25%,no,5,4,study,no,>2 months,1,4,self-employed,friends,yes,none,no,no,weekly,760,yes,yes,LPG,none,14.2kg,376.92307692307696,High Risk
Person_2454,Rajasthan,Udaipur,6499,yes,192,26-50%,no,7,4,not study,no,1-2 months,3,4,migrant-labour,money-lender,no,mobile,no,no,weekly,2854,no,yes,LPG,availability,5kg,446.1538461538462,Medium Risk
Person_7664,Jharkhand,Jamshedpur,9795,yes,123,26-50%,yes,8,3,study,no,1-2 months,3,5,farmer,friends,yes,fan,no,no,weekly,1964,yes,no,LPG,none,5kg,446.1538461538462,Medium Risk
Person_8660,Jharkhand,Giridih,5594,yes,157,26-50%,yes,2,0,study,yes,<1 month,1,1,self-employed,money-lender,no,none,no,yes,weekly,3343,no,no,LPG,cost,5kg,584.6153846153845,Medium Risk
Person_1980,Jharkhand,Ranchi,10681,yes,159,51-75%,yes,3,0,not study,no,>2 months,1,2,part-time,money-lender,no,none,yes,yes,monthly,2290,yes,yes,LPG,cost,5kg,515.3846153846155,Medium Risk
Person_9604,Bihar,Patna,5254,yes,33,26-50%,no,3,1,not study,yes,<1 month,1,2,part-time,savings,yes,fan,no,no,daily,539,no,no,LPG,distance,14.2kg,446.1538461538462,Medium Risk
Person_4248,Bihar,Purnia,3320,no,135,0-25%,yes,6,1,not study,no,1-2 months,5,1,self-employed,family,no,mobile,no,yes,monthly,416,yes,no,LPG,distance,5kg,653.8461538461539,Medium Risk
Person_9700,Rajasthan,Jaipur,4972,yes,165,76-100%,yes,2,0,study,yes,>2 months,1,1,part-time,savings,no,mobile,yes,yes,monthly,3554,no,no,LPG,distance,5kg,584.6153846153845,Medium Risk
Person_5164,Jharkhand,Jamshedpur,5175,no,39,76-100%,yes,2,0,study,no,<1 month,1,1,self-employed,friends,yes,none,no,no,monthly,3515,no,no,LPG,availability,5kg,307.69230769230774,High Risk
Person_3365,Rajasthan,Alwar,7661,yes,119,0-25%,yes,2,0,not study,no,<1 month,1,1,self-employed,money-lender,yes,"mobile,tv",no,no,monthly,607,no,no,LPG,cost,5kg,307.69230769230774,High Risk
Person 54,Uttar Pradesh,Jhansi,18471,yes,100,51-75%,yes,8,3,working,no,3-4 months,2,6,vendor,savings,yes,land,yes,yes,daily,0,no,yes,LPG,none,5kg,307.69230769230774,High Risk
Person_5789,Rajasthan,Pali,14368,yes,137,76-100%,yes,2,1,not study,no,1-2 months,1,1,self-employed,friends,no,"mobile,tv",no,yes,monthly,2551,yes,no,LPG,distance,5kg,723.0769230769231,Low Risk
Person 40,Uttar Pradesh,Jhansi,10299,yes,100,>75%,yes,8,1,working,no,1-2 months,2,6,driver,family,yes,mobile,yes,no,weekly,0,yes,yes,LPG,cost,5kg,238.46153846153848,High Risk
Person_3730,Rajasthan,Kota,7316,yes,9,51-75%,no,4,0,study,no,>2 months,1,3,farmer,friends,no,none,yes,yes,daily,2353,yes,yes,LPG,availability,14.2kg,584.6153846153845,Medium Risk
Person 3,Uttar Pradesh,Lucknow,19715,yes,0,51-75%,no,7,2,study,no,1-2 months,2,4,security-guard,savings,yes,none,yes,no,daily,500,no,yes,LPG,cost,5kg,376.92307692307696,High Risk
Person_1478,Bihar,Muzaffarpur,14118,yes,47,26-50%,no,2,1,not study,yes,>2 months,1,1,self-employed,family,no,tv,no,no,monthly,1205,no,no,LPG,availability,5kg,653.8461538461539,Medium Risk
Person_3961,Jharkhand,Jamshedpur,7170,no,103,51-75%,yes,6,0,not study,yes,>2 months,1,5,migrant-labour,friends,yes,none,no,yes,weekly,3651,no,yes,LPG,cost,5kg,169.23076923076923,High Risk
Person 81,Uttar Pradesh,Lucknow,16945,yes,100,>75%,yes,6,0,study,yes,1-2 months,3,4,security-guard,none,no,mobile,yes,no,weekly,500,no,yes,LPG,cost,5kg,376.92307692307696,High Risk
Person 28,Maharashtra,Thane,10576,no,200,51-75%,no,6,2,study,no,1-2 months,1,3,daily-wager,family,yes,none,no,yes,weekly,0,no,yes,LPG,availability,5kg,307.69230769230774,High Risk
Person 90,Uttar Pradesh,Agra,6168,yes,0,>75%,no,3,0,working,yes,3-4 months,1,0,cleaner,savings,no,land,yes,yes,weekly,500,no,yes,LPG,cost,5kg,584.6153846153845,Medium Risk
Person_6213,Rajasthan,Ajmer,13870,yes,192,0-25%,no,3,1,study,yes,>2 months,1,2,self-employed,family,yes,mobile,no,yes,monthly,593,no,no,LPG,cost,5kg,584.6153846153845,Medium Risk
Person_1888,Bihar,Darbhanga,11751,no,95,26-50%,yes,7,2,not study,yes,>2 months,6,1,migrant-labour,family,yes,none,no,yes,weekly,1894,yes,no,LPG,none,14.2kg,584.6153846153845,Medium Risk
Person_9631,Gujarat,Ahmedabad,8575,no,196,26-50%,yes,4,0,study,yes,<1 month,2,2,part-time,savings,no,mobile,no,no,daily,4180,yes,yes,LPG,distance,5kg,376.92307692307696,High Risk
Person_1301,Gujarat,Jamnagar,14871,no,200,76-100%,no,7,6,study,yes,1-2 months,6,1,self-employed,money-lender,yes,tv,no,yes,weekly,3811,yes,no,LPG,distance,14.2kg,792.3076923076924,Low Risk
Person_7352,Rajasthan,Pali,9500,yes,172,51-75%,yes,4,0,not study,yes,>2 months,2,2,farmer,money-lender,yes,"mobile,fan",yes,no,weekly,3556,yes,yes,LPG,cost,14.2kg,307.69230769230774,High Risk
Person_6323,Gujarat,Rajkot,10227,no,87,51-75%,no,8,1,study,yes,<1 month,5,3,self-employed,money-lender,no,fan,no,no,daily,497,yes,yes,LPG,none,14.2kg,584.6153846153845,Medium Risk
Person 23,Uttar Pradesh,Agra,16359,no,200,51-75%,no,8,2,study,yes,1-2 months,1,6,security-guard,none,no,vehicle,no,no,weekly,200,no,yes,LPG,availability,14kg,446.1538461538462,Medium Risk
Person_1033,Rajasthan,Kota,6918,yes,104,26-50%,yes,8,1,study,no,1-2 months,7,1,migrant-labour,friends,no,fan,no,no,monthly,1519,yes,yes,LPG,none,5kg,446.1538461538462,Medium Risk
